"","Generations","Abundance"
"1",1,2500
"2",2,2650
"3",3,2805.82
"4",4,2967.3045930208
"5",5,3134.24978808037
"6",6,3306.40159725414
"7",7,3483.45539285587
"8",8,3665.05613249221
"9",9,3850.79953145704
"10",10,4040.23423772184
"11",11,4232.86503517431
"12",12,4428.15706674025
